m.name,n
hsa-miR-519c-3p,3
hsa-miR-520h,3
hsa-miR-522-3p,3
hsa-miR-524-5p,3
hsa-miR-525-5p,3
hsa-miR-526b-5p,3
hsa-miR-527,3
hsa-miR-544a,3
hsa-miR-548i,3
hsa-miR-577,3
hsa-miR-590-5p,3
hsa-miR-593-3p,3
hsa-miR-596,3
hsa-miR-599,3
hsa-miR-613,3
hsa-miR-647,3
hsa-miR-649,3
hsa-miR-654-5p,3
hsa-miR-665,3
hsa-miR-7-2-3p,3
hsa-miR-766-3p,3
hsa-miR-877-5p,3
hsa-miR-885-5p,3
hsa-miR-892a,3
hsa-miR-892b,3
hsa-miR-92a-3p,3
hsa-miR-935,3
hsa-miR-98-5p,3
hsa-let-7c-5p,2
hsa-let-7f-5p,2
hsa-let-7g-3p,2
hsa-miR-103a-2-5p,2
hsa-miR-1183,2
hsa-miR-1184,2
hsa-miR-1197,2
hsa-miR-1202,2
hsa-miR-1207-3p,2
hsa-miR-1208,2
hsa-miR-122-5p,2
hsa-miR-1224-5p,2
hsa-miR-1229-3p,2
hsa-miR-1233-3p,2
hsa-miR-1236-3p,2
hsa-miR-1238-3p,2
hsa-miR-1252-5p,2
hsa-miR-126-5p,2
hsa-miR-1261,2
hsa-miR-1265,2
hsa-miR-1269a,2
hsa-miR-1270,2
hsa-miR-1271-5p,2
hsa-miR-1276,2
hsa-miR-1283,2
hsa-miR-129-2-3p,2
hsa-miR-1293,2
hsa-miR-1304-5p,2
hsa-miR-130a-5p,2
hsa-miR-1323,2
hsa-miR-133a-3p,2
hsa-miR-133b,2
hsa-miR-153-3p,2
hsa-miR-155-5p,2
hsa-miR-15a-5p,2
hsa-miR-16-1-3p,2
hsa-miR-17-3p,2
hsa-miR-1825,2
hsa-miR-188-3p,2
hsa-miR-188-5p,2
hsa-miR-18a-5p,2
hsa-miR-18b-5p,2
hsa-miR-1910-5p,2
hsa-miR-1913,2
hsa-miR-192-5p,2
hsa-miR-195-3p,2
hsa-miR-198,2
hsa-miR-199b-5p,2
hsa-miR-200b-3p,2
hsa-miR-211-5p,2
hsa-miR-2117,2
hsa-miR-215-5p,2
hsa-miR-218-1-3p,2
hsa-miR-218-5p,2
hsa-miR-219a-2-3p,2
hsa-miR-223-5p,2
hsa-miR-23c,2
hsa-miR-24-1-5p,2
hsa-miR-24-3p,2
hsa-miR-25-3p,2
hsa-miR-26b-5p,2
hsa-miR-297,2
hsa-miR-302b-5p,2
hsa-miR-302c-3p,2
hsa-miR-302d-5p,2
hsa-miR-302e,2
hsa-miR-3065-3p,2
hsa-miR-31-5p,2
hsa-miR-3133,2
hsa-miR-3145-3p,2
hsa-miR-3148,2
hsa-miR-3154,2
hsa-miR-3180-5p,2
hsa-miR-3182,2
hsa-miR-3183,2
hsa-miR-3199,2
hsa-miR-32-5p,2
hsa-miR-326,2
hsa-miR-337-3p,2
hsa-miR-338-3p,2
hsa-miR-339-5p,2
hsa-miR-345-5p,2
hsa-miR-363-3p,2
hsa-miR-3646,2
hsa-miR-3653-3p,2
hsa-miR-3658,2
hsa-miR-3663-5p,2
hsa-miR-367-3p,2
hsa-miR-3679-5p,2
hsa-miR-3680-3p,2
hsa-miR-3686,2
hsa-miR-3692-3p,2
hsa-miR-371a-5p,2
hsa-miR-374a-3p,2
hsa-miR-374c-5p,2
hsa-miR-375,2
hsa-miR-376a-3p,2
hsa-miR-376a-5p,2
hsa-miR-376c-3p,2
hsa-miR-378a-5p,2
hsa-miR-384,2
hsa-miR-3915,2
hsa-miR-3925-5p,2
hsa-miR-3935,2
hsa-miR-412-3p,2
hsa-miR-422a,2
