baseMean,log2FoldChange,lfcSE,pvalue,padj,name,countChange
411.20683876224,-1.30605305217568,0.216528642419449,1.6039355446275e-10,4.18168909849312e-09,hsa-miR-106b-5p,-244.904183219795
823.245753711921,-0.501327051963042,0.790298769038828,0.0400420493801884,0.133270650672663,hsa-miR-100-5p,-241.658313542206
450.265023522226,-1.09551468169477,0.141826763606174,1.27890213524528e-15,7.18152737483886e-14,hsa-miR-181a-2-3p,-239.554885052079
172.777258492581,1.23491033146649,0.184837694505817,1.54291265481355e-11,4.89707060006041e-10,hsa-miR-1976,233.882904489284
318.842316006928,-1.89056940685644,0.238402481280423,9.73432046686717e-17,6.87682639433519e-15,hsa-miR-15a-5p,-232.850354643102
221.711678832037,-3.64946934357934,0.378612990323963,1.42780074440783e-22,2.84262148204832e-20,hsa-miR-454-3p,-204.043620280236
309.88599519048,0.72811667956723,0.205509618392485,0.00014478936377732,0.00119491878045029,hsa-miR-193a-5p,203.432497485645
84.8774528942213,1.74094288583962,0.560134213028779,0.000306908083876959,0.00230972063123897,tRF-22-WE8SP6X52,198.828447151562
226.92257200687,0.888811799252315,0.284131403760412,0.000562840961653577,0.00396341384572776,hsa-miR-1908-5p,193.258717367883
305.984716582008,0.699649717018114,0.232787136956777,0.00122954611991014,0.00771548997880575,hsa-miR-877-5p,190.968248335527
169.068115284175,1.06800635650441,0.194749382344468,4.71225761891649e-09,9.38167653220646e-08,hsa-miR-6747-3p,185.388968565395
221.452116908787,-2.53440048297178,0.258798729446962,2.9063379168783e-22,5.3040666983029e-20,hsa-miR-576-5p,-183.226960620399
166.420451898671,1.06029874902267,0.213241732878169,1.98945931352838e-07,2.81091348169493e-06,tRF-21-WE8SPOX5D,180.626652165145
96.8896057968675,1.5137940739957,0.27340000543145,5.79259066694907e-10,1.33534458532826e-08,hsa-miR-150-3p,179.78838452618
311.939975844324,-1.20210856013812,0.398227172817279,0.000365054090280022,0.00270090695173394,hsa-miR-106a-5p,-176.358517945124
107.426946869577,1.35522151582682,0.242775642898813,4.57072737494412e-09,9.18338802855745e-08,hsa-miR-1343-3p,167.410281416573
259.480682595286,0.70906343100932,0.530768381136148,0.0458279601336365,0.147463538715971,hsa-miR-15b-3p,164.703424998867
85.6182159425008,1.54268543540919,0.257891428002796,5.03900166029229e-10,1.17398017404682e-08,hsa-miR-6726-3p,163.818720531619
209.786391850116,-2.17605689549637,0.707413916664485,3.26565600074095e-05,0.000313674852702749,hsa-miR-9-5p,-163.364918981732
420.836177499509,-0.667697892528283,0.191345669604966,0.000129312203877449,0.00108920664035236,hsa-miR-181b-5p,-155.915428944561
142.48577224519,1.05230875748147,0.410952254532075,0.00319510382031632,0.0173062190546073,tRF-17-HR0VX6J,153.00777478824
204.788184446006,-1.97930975946037,0.354155957202887,4.51160563361561e-10,1.06241035888368e-08,hsa-miR-96-5p,-152.85161170254
203.695256630929,0.806957971678542,0.154192635808194,5.27198055057964e-08,8.19449526265799e-07,hsa-miR-320d,152.673375922295
190.313300223569,-2.17647607172213,0.471183318722189,1.47492616472939e-07,2.1533922005049e-06,hsa-miR-10a-5p,-148.213061544357
325.999812587278,-0.83363032484062,0.124172110531299,8.32194601559614e-12,2.68015614325817e-10,hsa-miR-500a-3p,-143.07626419781
277.150691141145,-1.04330097930342,0.113740914684193,1.44145794988585e-20,1.85693700602941e-18,hsa-miR-502-3p,-142.672742183973
79.5783946241875,1.44716448314011,0.335558534188343,1.54816950312236e-06,1.91553175810055e-05,hsa-miR-1229-3p,137.409293024347
203.750235258598,0.733974458897655,0.239595334445554,0.000878748120001244,0.00581407366405657,hsa-miR-3940-3p,135.130161617087
221.658304215243,-1.34874449652101,0.299717413851806,6.15619497475836e-07,8.22077255775659e-06,hsa-miR-5010-3p,-134.627808658863
212.98021654625,0.694411036868839,0.266841419674394,0.00256578181084853,0.0144448898862681,hsa-miR-7641,131.669412732877
430.152653672382,-0.506908092221226,0.195797610914544,0.0037454202465965,0.0196231347847999,hsa-miR-28-3p,-127.441749231066
917.065102830804,0.187588282101289,0.399856247848713,0.569195425497281,0.798391690482455,hsa-miR-370-3p,127.342121527747
333.809518249702,-0.683639104475759,0.241400554036906,0.00187890096738326,0.0112734058042996,hsa-miR-99b-5p,-125.982101554175
275.196928195768,0.540774966588494,0.383125123856461,0.0597449165965434,0.180222269072218,hsa-miR-486-3p,125.146835523639
290.304360049115,0.512593580860567,0.152656991204361,0.000575441225584878,0.00402625010872487,hsa-miR-505-5p,123.847486374548
248.086468305033,-0.933366698874724,0.251684523478117,6.73152940115822e-05,0.000611703294130145,hsa-miR-196b-5p,-118.17972261949
257.242264205145,-0.869595200348782,0.214034881334706,1.40375791474918e-05,0.000145010841193429,hsa-miR-4306,-116.453471710697
149.104365302374,-2.09386782288033,0.397529506845069,1.23161684012554e-09,2.72448573724741e-08,hsa-miR-151b,-114.176395992835
174.933850209886,-1.48493685931638,0.160868370415658,1.21581686499645e-21,1.96543767890261e-19,hsa-miR-548o-3p,-112.436253315169
151.179012942445,0.797202121146078,0.192839971853343,1.86846363871911e-05,0.000191211933121255,hsa-miR-6783-3p,111.528961893666
177.300531538808,-1.41046666787105,0.525376567870641,0.00121963580998258,0.00770093270038201,hsa-miR-493-5p,-110.601847916463
52.8928803435162,1.61064707781647,0.1745400966658,5.15324227042338e-21,7.52373371481813e-19,hsa-miR-6855-5p,108.63604381655
96.8878155448958,1.08248597649017,0.198993815701381,1.04010351010868e-08,1.91414007322522e-07,hsa-miR-6815-5p,108.289769164225
168.47971323732,-1.4725120959233,0.158784629127559,1.2564441782939e-21,1.96543767890261e-19,hsa-miR-378c,-107.767326707358
175.532556580926,0.675011458974209,0.258507281740326,0.00461150318494671,0.023323768995458,tRF-17-MBQ4NKJ,104.724382765848
92.0615916097555,1.08338171800601,0.304044086432223,0.000174580514091716,0.00138980872813188,tRF-21-WEKSPM85D,103.016668193609
131.460967263334,-2.12923857399517,0.307048092331322,1.87937365851245e-13,8.23165662428452e-12,hsa-miR-130a-3p,-101.411820509679
193.497205843502,-1.06526514302445,0.252293852269435,1.40182251604065e-06,1.76436282191323e-05,hsa-miR-29a-3p,-101.027827771089
104.775015814389,0.955094006099965,0.153324445774969,3.0236957070624e-10,7.52487908916665e-09,hsa-miR-1226-3p,98.3529313804583
100.295081236097,0.978399556441059,0.192610013720711,5.2759079088346e-08,8.19449526265799e-07,hsa-miR-6741-3p,97.3141591397564
81.560543696083,1.1263004108339,0.237717330168501,6.56151503297239e-07,8.70891995285426e-06,tRF-21-LNK8KEP1B,96.4846768656588
148.84104035003,-1.45436582066397,0.178455635259317,1.91766226012875e-17,1.55543716654887e-15,hsa-miR-378d,-94.5266436129023
81.7417995344113,1.09919560020013,0.185141700019818,8.71434361540625e-10,1.94738903242242e-08,hsa-miR-3127-3p,93.3779152282928
119.179277539597,-2.19781460821959,0.224742181546667,4.72136715171236e-24,1.38960812314738e-21,hsa-miR-148b-5p,-93.2020602888994
335.527692764707,-0.459116014034504,0.222056363890668,0.0295227077826223,0.103447568070309,hsa-miR-1255b-5p,-91.4541647794539
35.8734991548326,1.80473123046599,0.376362203760111,3.7935824458621e-08,6.19995937047612e-07,tRF-21-YOHR6HFRD,89.4556164247887
46.8197392688992,1.54058073355834,0.304138880424963,4.2123472697588e-08,6.78311802997924e-07,hsa-miR-7704,89.3843047632552
