"name","cluster"
"tRF-26-8DYDZDL9X1B","2"
"tRF-26-9DWUH6QE30E","4"
"tRF-26-ISQI45LSM1D","2"
"tRF-26-R3WE8RO86JD","2"
"tRF-26-RNLNK88KO1B","4"
"tRF-26-RPM830MMUKD","4"
"tRF-26-RX6NMH490VD","2"
"tRF-26-S2I7L7P5QKB","4"
"tRF-26-SP58309MUKD","4"
"tRF-26-W3FJIKE7UMD","4"
"tRF-27-596VW631QJJ","2"
"tRF-27-5BF900BY4D5","2"
"tRF-27-739P8WQ0D52","2"
"tRF-27-9N1EWJQ72SJ","2"
"tRF-27-MIF91SS2P44","2"
"tRF-27-N24YDRFU8UN","4"
"tRF-27-QP4PW3FJIK1","4"
"tRF-27-R3WE8RO86J2","4"
"tRF-27-W3FJIKE7UMJ","2"
"tRF-27-YONONU3IND2","4"
"tRF-27-Z3M8ZLSSXUL","4"
"tRF-28-3JVIJMRPFQDY","2"
"tRF-28-3L7L73J6M9DV","4"
"tRF-28-6NMH490VL8DJ","2"
"tRF-28-6XQ6S8V0J8DR","2"
"tRF-28-73V2Y8L981DV","2"
"tRF-28-86J8WPMN1E0J","2"
"tRF-28-86V8WPMN1E0J","2"
"tRF-28-I3VF4YO9XED2","4"
"tRF-28-KF9MVH7P59DP","4"
"tRF-28-M8ZLSSXUOLD2","4"
"tRF-28-MIF91SS2P4DX","2"
"tRF-28-PS5P4PW3FJDD","4"
"tRF-28-PSQP4PW3FJD0","4"
"tRF-28-QP4PW3FJIKW","4"
"tRF-28-S8V0J8O9YEDJ","2"
"tRF-28-Z3M8ZLSSXUD6","4"
"tRF-28-Z6EXEY0VWUD2","2"
"tRF-29-18YKISQI451V","2"
"tRF-29-1EWJQ72S3HIJ","2"
"tRF-29-34HWH3RXSIHM","2"
"tRF-29-3JVIJMRPFQIX","4"
"tRF-29-6XQ6S8V0J8HW","4"
"tRF-29-86J8WPMN1EJ3","2"
"tRF-29-D0B601WZ03HV","4"
"tRF-29-JL1Y2LNOZ7I2","4"
"tRF-29-MEF91SS2PMER","2"
"tRF-29-MIF91SS2P4IR","2"
"tRF-29-PSQP4PW3FJF4","4"
"tRF-29-Q1Q89P9L84FS","1"
"tRF-29-W47W1R7HFEE2","2"
"tRF-29-Y8L981PV6RIZ","4"
"tRF-29-Z3M8ZLSSXUH7","4"
"tRF-30-32VIJMRPFQJD","4"
"tRF-30-34HWH3RXSINH","2"
"tRF-30-3JVIJMRPFQRD","2"
