MINTplate,n
tRF-21-K2821IQ4E,1
tRF-22-1EWJQ72SJ,1
tRF-22-4656OKNHP,1
tRF-22-N1EH6KK8N,1
tRF-22-W631QJ3KQ,1
tRF-22-WE8S68L52,1
tRF-22-ZKXU53K8N,1
tRF-23-3V2VR0PSDZ,1
tRF-23-4656OKNH0N,1
tRF-23-W631QJ3K05,1
tRF-23-Z87HFK8SDZ,1
tRF-23-ZKXU53K80E,1
tRF-24-W631QJ3KKK,1
