,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-16-4RN26W0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-16-4Y2V7KE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
tRF-16-4ZMKQ40,3,1,2,1,2,,6,2,8,,5,,1,,5,9,7,1,3,5,7,4,1,2,2,1,1,4,2,1,7,12,2,13,,1,2,3,,,3,4,,1,8,,2,3,2
tRF-16-50SJRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-16-50SRRND,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-16-51K36DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-16-58M87SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-16-593J2HD,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-593KMHD,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,1,
tRF-16-596VW6D,,,,,,,2,4,,,1,,1,1,,3,,,1,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,2,,,2,
tRF-16-596VW6E,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,
tRF-16-596VZ6D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-59KNNV0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-16-5DMKYUE,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-5L8RPYE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
tRF-16-5O6WNEE,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-5P7JE20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-16-5Y93W0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-16-68K87SB,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-16-69JMW90,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
tRF-16-6NM449B,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-6NMH49B,1,,4,1,4,,6,3,10,2,4,1,3,,6,9,5,10,5,4,2,8,4,2,5,1,1,6,2,5,3,9,4,8,3,1,1,5,4,5,4,6,3,3,3,2,10,1,6
tRF-16-6RRNLID,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-6SJF090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-6YMWWBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
tRF-16-70VR31E,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1
tRF-16-739P8W0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
tRF-16-73DJS8E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
tRF-16-73FJP4D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,
tRF-16-73FJQ4D,8,8,28,12,12,5,18,61,59,7,14,32,22,17,8,63,11,13,5,12,9,11,29,7,22,19,1,13,8,10,9,25,14,29,18,5,12,15,76,1,44,11,57,25,11,6,8,9,20
tRF-16-74113KE,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-78V0J80,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-79MP9PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-7J3KYUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-16-7JV2Y8E,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-16-7P596VE,1,,1,2,2,,1,2,3,,3,1,1,,8,4,5,2,9,3,6,2,,3,4,2,4,2,10,1,3,5,3,2,5,7,6,1,4,4,,1,2,,7,,1,2,
tRF-16-7PU9XWE,,1,1,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,1,1,,,,,,,,,,,,
tRF-16-7SD6MS0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-7SERM4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-7SI7JPE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-7UK87SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tRF-16-7Z2R1H0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
tRF-16-808HWK0,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,
tRF-16-88481DD,,,,1,,,,,,,,,,,,5,,1,,1,,,,,,,1,1,,,,2,,2,,,,,,,,,1,,,,,1,
tRF-16-884U1DD,1,,,3,2,,1,2,5,1,2,3,1,6,2,7,,2,2,4,,8,1,2,1,2,,,1,1,1,8,,4,,,,1,2,1,3,2,1,1,7,1,3,4,3
