,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-22-8BWS72092,27,20,15,16,28,,20,32,34,12,20,26,22,32,,175,,95,,40,,39,12,13,1,40,,40,,42,,92,,96,1,,,14,17,8,24,20,9,15,32,15,19,25,13
tRF-22-8BWS73092,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
tRF-22-8BWS7K092,1,3,1,3,5,2,4,5,3,1,7,2,3,7,,7,,7,,6,,10,4,3,,4,,8,,4,,9,,4,,,,3,6,6,5,2,10,3,2,3,4,4,7
tRF-22-8BWSNKP92,6,11,9,9,19,,36,15,16,4,16,13,5,6,3,7,4,7,3,8,4,9,5,5,1,9,3,13,3,9,1,8,3,5,1,,1,16,15,5,14,29,13,20,7,12,28,14,15
tRF-22-8E8SPOX52,1,1,1,1,2,,4,2,1,1,1,2,1,,1,1,,1,,2,2,1,,1,,,,1,,1,1,1,2,2,,1,,2,2,,1,1,,,1,2,1,1,1
tRF-22-8EK6P1852,2,,3,1,,,4,2,1,,3,,2,,,,,,1,2,,2,,2,1,,,1,2,,1,2,1,,,,,,1,,3,3,3,,3,,10,1,1
tRF-22-8EK879652,,,,,,,,1,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
tRF-22-8EKSP1852,727,631,986,1135,737,317,4136,2366,2985,371,1104,642,1425,119,439,445,387,213,179,875,438,1196,491,502,146,20,202,422,272,573,429,702,452,203,265,100,65,751,904,780,1977,1730,616,611,1314,296,3521,749,990
tRF-22-8EKSPM852,8,7,13,14,16,3,39,24,26,7,8,4,22,7,7,2,4,9,2,5,10,14,3,13,1,3,6,4,4,15,3,13,6,7,4,2,1,15,11,20,12,21,9,13,14,10,32,21,10
tRF-22-8EKYP1852,4,2,2,1,,,,4,2,,,1,3,,,1,3,,,2,,1,,1,1,,1,,,4,,1,,,,,,,2,,2,7,,2,6,1,5,2,
tRF-22-8EWSNKP92,,1,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,2,,,1,,
tRF-22-8F81KLB52,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-22-8FLUD3KSN,6,2,4,3,2,,7,2,2,,10,3,,1,1,4,3,3,1,4,1,2,3,2,2,6,1,1,2,3,,9,2,2,1,,1,3,1,4,2,2,5,,2,,3,4,1
tRF-22-8K587SI72,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-8LHYD3MUN,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,,,3,,,,,,,2,1,,,,,,,
tRF-22-8NRS9NS3J,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,2,,,,,,,,,1,,,1,1,,,,,,
tRF-22-8NWE6WRNK,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-8O90Q4R9L,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,
tRF-22-8OP3X1M35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-22-8PHPD3XWN,,1,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,1,
tRF-22-8PHPDJXWN,1,2,,1,1,,3,2,2,1,2,2,,1,,2,,2,,2,,1,,,2,3,,2,1,1,,3,,4,,,,1,,3,,2,3,2,1,3,1,,
tRF-22-8R90Q4R9L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-8RPFR9OM3,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
tRF-22-8RQFR9O13,,1,,1,,,,,,,,,,,,,1,1,,,1,,1,2,1,,,,,,,3,,,1,,1,,,1,,1,,,,3,,3,1
tRF-22-8RQFR9OM3,2,2,2,1,1,,,5,1,2,2,1,,1,2,,,2,,1,,,,6,,,2,4,,2,1,,,,1,1,,1,,2,1,3,1,1,1,5,1,2,
tRF-22-8XF6RE98N,,,,,1,,1,2,,,1,,,,,3,1,1,1,1,,3,,2,,2,,,,2,2,5,1,2,1,,1,2,,1,,3,,1,,3,1,,
tRF-22-8Z1MQ8YUQ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-93Q01M3KQ,1,1,,1,4,1,2,,,,1,,,,,2,,1,,1,,1,1,2,,,,,,3,,2,,2,,,,2,,,,1,1,,6,2,1,2,1
tRF-22-947F73FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-94V4SMIFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-99DMEMR32,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-99OMEMR32,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,3,,,,,,,
tRF-22-9B0Q37Q52,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-9D5HLYOZ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-22-9DH48V7KQ,,,,1,,1,2,,,,,,2,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,
tRF-22-9DZBH6IKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-22-9EDJSYE94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-9KIWRNL3J,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-22-9L1HW34WF,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-9LONNVN11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-22-9M739P8WM,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-22-9MVH7P593,,,,,2,,1,,,,3,,,2,,12,,4,,6,,3,,,,2,,2,,2,,3,,7,,,,,,,,2,,,1,,,3,1
tRF-22-9N1EWJQ72,112,91,147,81,117,25,171,292,150,81,114,106,101,138,55,577,57,170,61,151,34,157,114,67,30,247,16,155,24,242,46,205,32,432,49,36,23,154,201,140,172,135,143,141,273,90,196,175,197
tRF-22-9NF5W8EZL,,,,,,,,,,,,,,1,,1,,,,3,,1,2,,,1,,1,,1,1,,,,,,,,,,,,,,,,,1,
tRF-22-9NFJ73QOO,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-9NH5SYNX2,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-9NLE3JW24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-9NLE3JWB4,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-22-9NS334L2I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
tRF-22-9O0PRMQ0Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-22-9O94F5Z81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
tRF-22-9P8WQ0D52,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,1,,2,,1,2,3,,,,,,,,,,,,
tRF-22-9P9MH57SJ,,,2,,,,,,,,,,,,,2,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
tRF-22-9UV36562I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-22-9VWVEH935,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-9VZVEH935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-9W53K876I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,
tRF-22-9X0UD394N,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-B0845JJ84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-22-B1ZZK0O52,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-B4ZPEK45I,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-B5QB1M38I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-BBSQ6KK44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
tRF-22-BE7XO8Q62,2,1,10,6,17,6,9,7,3,,6,1,4,8,1,6,1,3,,8,,,14,4,1,7,,13,1,9,,2,,3,,,1,8,18,5,21,6,39,,5,6,3,1,2
tRF-22-BK8RR9ODP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-BRFKWE6ML,,,,1,2,,2,1,,1,,,1,,,,2,,1,2,,3,1,2,1,,1,3,,1,2,1,,1,,1,,,4,1,1,,2,,,,,,2
tRF-22-D112Z4R9L,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-D4ZWRNU3J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-22-D7OK8Y19L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
tRF-22-D81H93WB5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-D8H0QMXI5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-D8XJEZ6I3,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
tRF-22-D8YJE76IQ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-D9W1X6L8L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
tRF-22-DE6PFRRO5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-22-DF7UK87SI,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-DI2OOIQO3,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-22-DMI2669KQ,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,
tRF-22-DPUSYDY6I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-22-DRFU8U76F,,1,,2,1,1,3,,1,,,4,1,,1,3,2,4,1,2,2,1,,,,2,,1,,1,1,6,1,1,,1,2,,1,1,1,2,1,,2,,,1,1
tRF-22-DRFU8U76H,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-22-DWY2MJ8F5,,,1,,,,1,,1,,,1,,,,1,,,1,,,2,,,,,,2,,1,,,,1,,,,,3,,1,,1,,,,,1,
tRF-22-E6199M8OP,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,
tRF-22-EH623K7SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
tRF-22-ERFMF0QVN,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
tRF-22-EUB4ZPEK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-EVUMJYX9P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
tRF-22-EXEY0VWUJ,,,,,1,1,,2,2,,,,1,,,,2,1,,,,,,,1,1,1,1,,1,,,,1,1,4,,,2,,1,,,,,,1,,
tRF-22-F0QV7NLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
tRF-22-F6RE987SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-F8DHXY6RI,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-22-FBQ622EVO,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,2,,,,,1,1,2,,,1,,,,,,,,,,
tRF-22-FEWS3V2V4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-FMF0QV7NK,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-FNKQWYL1K,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-FPZD3KYUQ,,,,,,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,
tRF-22-FQPH113KQ,1,,1,,1,1,2,,,,2,,1,3,,3,,2,,,,,,,1,,,4,,3,,,,,,,,,1,3,2,2,,3,3,2,,1,1
tRF-22-FV7SQWU1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-FVI8E9UN2,3,,,,,,,1,2,,,1,,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
tRF-22-H3RXSINHQ,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,1,,,,,,
tRF-22-H4SXQ3V2Q,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-22-H6QE30YOI,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-H6QE30YUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tRF-22-H7V3LY7SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
tRF-22-H7V3LY7SI,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,3,,2
tRF-22-HENBRRX35,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-HEPURYX35,,1,1,,,,,1,,,1,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,,2,1,,,,,1,2,,,,2
tRF-22-HJ83ML5F5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-HQ9M739P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-22-HVHBEXBIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-HXD3KY7SI,,,1,1,1,,1,4,,,,2,1,1,,,2,1,,,,,,,,,,2,1,,1,4,,,1,2,,,,2,,1,,3,1,1,,,
tRF-22-I1539U7SH,,1,,,,,2,1,,2,,,,,,,2,,,,,1,3,1,,,,,,2,,1,,1,1,1,,3,,1,1,1,,,1,,,,1
tRF-22-I1539U7SI,1,2,2,3,3,3,,2,2,6,,4,1,3,5,3,,2,,1,3,4,,,3,,3,4,1,5,,2,2,1,1,,1,1,3,2,,,4,,1,1,8,1,3
tRF-22-I26WRNLEJ,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,1,,,,,,,,,,5,,,1,,,,1
tRF-22-I2JQSSM8N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-I2UKM759K,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-I2UKM7OZK,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-I34JRX6NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-22-I3R918VBQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-22-I3VF4YOZP,,,1,,1,,,1,,,,1,,,,1,,,,1,,,,,,1,,,,1,,2,,,,,,,,1,,,,1,2,,,1,
tRF-22-I4XK8SR9F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-22-I6D3887SH,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-I6D3987SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-22-I7XUK87SI,,,,1,,,,,,,,,,,1,1,1,1,1,,,1,2,,,,,,,,1,,,2,,,1,,,,,,1,,,,1,,
tRF-22-I8W47W1RN,,,,,,,1,,,,,,,,,1,4,1,,1,,,,,1,,,,1,1,,1,2,,1,1,1,,1,,,1,,,,1,1,,
tRF-22-I958M87SF,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,
tRF-22-ILXKKSR9L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-INVDRI2Q2,4,5,11,4,19,5,8,16,11,2,1,11,1,5,6,5,1,12,,12,,8,17,2,1,13,,6,,9,1,4,,9,,,,5,29,7,13,3,18,5,5,3,2,3,
tRF-22-IRJ9ZH0S4,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
tRF-22-IWQ7PFM8N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-IWQ7PHM8N,,,1,,1,,,,,,1,,,1,,3,,2,,1,,,1,1,,1,1,2,,5,1,2,,1,,,1,,,,,,,,,1,1,,
tRF-22-IWQZPHM8N,,,,,1,,,,,,,,,,3,,6,1,17,,6,,,,15,,3,,11,,15,1,6,,7,3,6,,,,,1,,,,,,,
tRF-22-J9ZH0SR9L,1,,1,,1,,2,2,,2,1,,,,,,,1,,1,,2,1,1,2,2,,1,,,1,,4,,1,1,,,1,,,3,1,,4,5,2,4,1
tRF-22-JB6YMWWB5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-JHOJ7IR12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-JJ6RRNLIJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,
tRF-22-JKIKYUY9I,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-JMRPFQJDQ,1,,,1,1,,,,1,,1,,,,,,,2,,1,,,,,,1,,,1,,,,,3,,,,,,,,,,,,,,,1
tRF-22-JMRPFQRD5,4,2,4,,5,2,4,3,8,2,2,4,,6,3,16,1,6,,9,,5,1,1,1,7,,6,1,6,,15,1,21,1,,,3,9,2,1,6,,1,5,2,7,3,4
tRF-22-JN5XR4NP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
tRF-22-JNRPFQJDQ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-JOKP1M58I,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
tRF-22-JOWU1MN0Q,,1,,,,,,2,,,,,,2,,1,,3,,1,,,1,1,,,,1,,1,,1,,2,,,,1,1,,,,2,,,,,,4
tRF-22-JPN1Y6FPQ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-JQSSM87SF,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-JW70SRRN2,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,
tRF-22-JYSWRYVMK,,,,,,1,1,,,1,,1,,,,,,,,,,,2,,,,,,,1,,,,,,,1,1,3,,,1,,,1,,,,
tRF-22-JYX9X5Q44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-22-JYXZX5Q44,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-K0JNORRNK,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
tRF-22-K2821IQ4Q,,1,1,3,6,,1,2,3,1,1,,1,,,8,,5,,3,,8,2,,,4,,3,,8,1,1,1,2,,,,2,1,5,,1,1,1,5,,9,1,1
tRF-22-K2821NQ4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-K5I34JRX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
tRF-22-K76KM87SF,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
tRF-22-K77343RX4,,1,1,1,1,,2,3,,,1,1,1,,,3,,,,1,,4,,,,,,1,,1,,,,2,,,,,1,1,1,1,,,1,,1,1,1
tRF-22-KE6KM87SF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,
tRF-22-KHM26RRNK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-KNNVORRNK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,,,
tRF-22-KQI34JRX4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-22-KQWYL1M35,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,
tRF-22-KSLP7SBRP,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-22-KSLP7SDRP,,,2,,,,,1,1,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,1,,1,1,,,,1,,
tRF-22-KYSX73V2Q,,,1,2,,,,,,,1,,,,,,,,,1,1,1,,,,,,1,,1,,,,,1,,,1,,,,,1,,,,,,
tRF-22-KZLLQ6Q8O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
tRF-22-L7P5QK11K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-L8K87SIRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-22-L981PV6R4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-LK91547O4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-22-LQBDYBEZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-22-M0NK5Y935,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-M3Q01M3KQ,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-M8ZLSSXUL,,,,,,,,,,,,,,,,1,,1,,,1,,1,1,1,,,,1,1,,,,,,,,1,2,,,1,,5,,1,,2,
tRF-22-MBQ4NKKQF,12,13,6,7,9,1,14,12,7,8,11,9,2,11,2,12,2,16,,8,2,10,2,8,4,12,3,6,,11,2,20,4,15,2,3,6,9,12,10,5,19,4,5,12,19,22,19,16
tRF-22-MBQ4NKKWF,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-ME6KM87SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-22-MEJB59V35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-MI7O3B1N4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,
tRF-22-MIF91SS2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-22-MIMYSXR3I,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-MK7LQ673H,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-MKILQ673H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-22-MMUKLYM9H,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-MN1E8Y7Z2,1,2,5,1,6,,3,1,9,3,2,6,,1,1,13,,8,,7,,1,4,,,3,,3,,9,,9,,15,,,,1,1,,1,2,4,3,5,2,,6,3
tRF-22-MNH5SYNX2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-MPW4PU73O,1,1,,3,1,,2,2,,,,3,1,3,,2,,,,4,,,1,,1,1,,,,,1,2,,3,,,,,2,,,3,2,1,2,3,3,,2
