"","cells","file","batch"
"220","CD8 cells","SRR5756028",2
"221","CD14 cells","SRR5756035",2
"222","CD15 cells","SRR5756036",2
"223","CD19 cells","SRR5756037",2
"224","CD235a cells","SRR5756039",2
"225","CD4 cells","SRR5756033",1
"226","CD56 cells","SRR5756038",2
"227","CD8 cells","SRR5756034",2
"228","CD14 cells","SRR5756042",4
"229","CD15 cells","SRR5756043",4
"230","CD19 cells","SRR5756044",4
"231","CD235a cells","SRR5756046",4
"232","CD4 cells","SRR5756040",2
"233","CD56 cells","SRR5756045",2
"234","CD8 cells","SRR5756041",2
"235","CD14 cells","SRR5756049",4
"236","CD15 cells","SRR5756050",4
"237","CD19 cells","SRR5756051",4
"238","CD235a cells","SRR5756053",4
"239","CD4 cells","SRR5756047",1
"240","CD56 cells","SRR5756052",4
"241","CD8 cells","SRR5756048",4
"242","CD14 cells","SRR5756056",4
"243","CD15 cells","SRR5756057",4
"244","CD19 cells","SRR5756058",4
"245","CD235a cells","SRR5756060",4
"246","CD4 cells","SRR5756054",1
"247","CD56 cells","SRR5756059",4
"248","CD8 cells","SRR5756055",4
"249","CD14 cells","SRR5756063",4
"250","CD15 cells","SRR5756064",4
"251","CD19 cells","SRR5756065",4
"252","CD235a cells","SRR5756067",4
"253","CD4 cells","SRR5756061",1
"254","CD56 cells","SRR5756066",4
"255","CD8 cells","SRR5756062",4
"256","CD14 cells","SRR5756070",1
"257","CD15 cells","SRR5756071",4
"258","CD19 cells","SRR5756072",4
"259","CD235a cells","SRR5756074",4
"260","CD4 cells","SRR5756068",4
"261","CD56 cells","SRR5756073",4
"262","CD8 cells","SRR5756069",4
"263","CD14 cells","SRR5756077",1
"264","CD15 cells","SRR5756078",4
"265","CD19 cells","SRR5756079",4
"266","CD235a cells","SRR5756081",4
"267","CD4 cells","SRR5756075",1
"268","CD56 cells","SRR5756080",4
"269","CD8 cells","SRR5756076",4
"270","CD14 cells","SRR5756084",1
"271","CD15 cells","SRR5756085",4
"272","CD19 cells","SRR5756086",4
"273","CD235a cells","SRR5756088",4
"274","CD4 cells","SRR5756082",4
"275","CD56 cells","SRR5756087",4
"276","CD8 cells","SRR5756083",4
"277","CD14 cells","SRR5756091",4
"278","CD15 cells","SRR5756092",4
"279","CD19 cells","SRR5756093",4
"280","CD235a cells","SRR5756095",4
"281","CD4 cells","SRR5756089",1
"282","CD56 cells","SRR5756094",4
"283","CD8 cells","SRR5756090",4
"284","CD14 cells","SRR5756098",4
"285","CD15 cells","SRR5756099",4
"286","CD19 cells","SRR5756100",4
"287","CD235a cells","SRR5756102",4
"288","CD4 cells","SRR5756096",4
"289","CD56 cells","SRR5756101",4
"290","CD8 cells","SRR5756097",4
"291","CD14 cells","SRR5756105",4
"292","CD15 cells","SRR5756106",4
"293","CD19 cells","SRR5756107",4
"294","CD235a cells","SRR5756109",4
"295","CD4 cells","SRR5756103",1
"296","CD56 cells","SRR5756108",4
"297","CD8 cells","SRR5756104",4
"298","whole blood","SRR5756110",5
"299","whole blood","SRR5756111",5
"300","whole blood","SRR5756112",5
"301","whole blood","SRR5756113",5
"302","whole blood","SRR5756114",5
"303","whole blood","SRR5756115",5
"304","whole blood","SRR5756116",5
"305","whole blood","SRR5756117",5
"306","whole blood","SRR5756118",5
"307","whole blood","SRR5756119",5
"308","whole blood","SRR5756120",5
"309","whole blood","SRR5756121",5
"310","whole blood","SRR5756122",5
"311","whole blood","SRR5756123",5
"312","whole blood","SRR5756124",5
"313","whole blood","SRR5756125",5
"314","whole blood","SRR5756126",5
"315","whole blood","SRR5756127",5
"316","whole blood","SRR5756128",5
"317","whole blood","SRR5756129",5
"318","whole blood","SRR5756130",5
"319","whole blood","SRR5756131",5
"320","whole blood","SRR5756132",5
"321","whole blood","SRR5756133",5
"322","whole blood","SRR5756134",5
"323","whole blood","SRR5756135",5
"324","whole blood","SRR5756136",5
"325","whole blood","SRR5756137",5
"326","whole blood","SRR5756138",5
"327","whole blood","SRR5756139",5
"328","whole blood","SRR5756140",5
"329","whole blood","SRR5756141",5
"330","whole blood","SRR5756142",5
"331","whole blood","SRR5756143",5
"332","whole blood","SRR5756144",5
"333","whole blood","SRR5756145",5
"334","whole blood","SRR5756146",5
